Case Type,Filing Date,Registration Date,CNR Number,First Hearing Date,Decision Date,Case Status,Nature of Disposal,Under Act,Under Section
932,23/10/2023,11/2/2023,MHPU010176002023,28/08/2024,23/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
933,01/06/2023,7/23/2023,MHPU010064392023,10/06/2023,29/09/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,140
934,23/03/2023,10/17/2023,MHPU010074592023,10/06/2024,08/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,40
935,06/08/2023,12/3/2023,MHPU010176002023,02/01/2023,27/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,140
936,19/01/2023,10/25/2023,MHPU010000532023,28/01/2023,22/12/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,140
937,06/05/2023,12/28/2023,MHPU010063022023,15/08/2023,15/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,40
938,08/06/2023,5/21/2023,MHPU010101462023,14/04/2024,19/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,151 dar
939,07/11/2023,9/13/2023,MHPU010176002023,07/08/2024,11/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,166
940,17/05/2023,6/14/2023,MHPU010170062023,04/08/2023,23/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
941,17/05/2023,10/7/2023,MHPU010258492022,14/02/2023,02/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,166
942,14/06/2023,10/30/2023,MHPU010101462023,24/10/2023,16/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,o21
943,01/01/2023,8/9/2023,MHPU010135842023,15/05/2023,01/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,151 dar
944,28/02/2023,4/24/2023,MHPU010101462023,06/03/2023,18/10/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,151 dar
945,21/06/2023,5/7/2023,MHPU010101462023,10/01/2024,26/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,140
946,30/04/2023,7/3/2023,MHPU010170062023,05/09/2024,09/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,166
947,09/10/2023,10/22/2023,MHPU010064392023,29/07/2023,26/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,151 dar
948,08/06/2023,7/9/2023,MHPU010063022023,18/05/2024,01/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,o21
949,01/06/2023,11/25/2023,MHPU010170062023,25/03/2024,28/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,140
950,10/05/2023,7/15/2023,MHPU010074592023,22/07/2024,29/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
951,04/12/2023,8/29/2023,MHPU010155972023,17/05/2023,03/11/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,151 dar
952,19/02/2023,10/15/2023,MHPU010064392023,19/05/2024,24/11/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,o21
953,26/11/2023,1/8/2023,MHPU010112742023,06/01/2023,30/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,40
954,22/09/2023,5/25/2023,MHPU010258492022,17/07/2023,16/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,151 dar
955,03/12/2023,10/31/2023,MHPU010258492022,23/01/2024,11/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
956,13/01/2023,9/15/2023,MHPU010086342023,26/08/2024,23/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
957,30/03/2023,8/3/2023,MHPU010000532023,17/08/2023,21/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,o21
958,26/09/2023,5/12/2023,MHPU010155972023,26/04/2023,29/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,166
959,27/09/2023,7/18/2023,MHPU010258492022,06/01/2023,04/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,40
960,27/04/2023,12/2/2023,MHPU010060312023,08/03/2024,16/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,40
961,19/03/2023,7/11/2023,MHPU010112742023,24/03/2023,04/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,151 dar
962,08/11/2023,4/14/2023,MHPU010176002023,05/03/2024,28/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,151 dar
963,30/08/2023,1/18/2023,MHPU010086342023,16/05/2023,14/11/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,166
964,01/11/2023,4/14/2023,MHPU010043232023,05/05/2024,26/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,166
965,27/07/2023,3/13/2023,MHPU010043232023,29/02/2024,17/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,140
966,03/02/2023,2/5/2023,MHPU010063022023,20/08/2023,08/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,140
967,15/12/2023,9/18/2023,MHPU010176002023,07/09/2023,26/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,40
968,19/12/2023,4/28/2023,MHPU010086342023,21/03/2023,24/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
969,30/03/2023,11/12/2023,MHPU010101462023,02/10/2023,15/11/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,o21
970,16/01/2023,7/19/2023,MHPU010170062023,28/09/2023,20/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,151 dar
971,20/08/2023,11/25/2023,MHPU010101462023,13/05/2024,23/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,151 dar
972,17/06/2023,6/13/2023,MHPU010112742023,22/01/2023,04/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,140
973,04/10/2023,8/24/2023,MHPU010176002023,27/03/2023,29/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,140
974,23/01/2023,9/25/2023,MHPU010074592023,19/03/2024,16/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,40
975,28/01/2023,11/2/2023,MHPU010043232023,27/12/2023,13/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
976,14/09/2023,10/28/2023,MHPU010135842023,19/03/2024,24/09/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,o21
977,24/02/2023,11/9/2023,MHPU010043232023,08/08/2024,25/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,151 dar
978,23/04/2023,1/15/2023,MHPU010101462023,01/01/2023,17/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
979,09/04/2023,4/23/2023,MHPU010135842023,28/07/2024,01/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,166
980,16/09/2023,10/30/2023,MHPU010063022023,24/08/2023,24/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,o21
981,03/10/2023,1/12/2023,MHPU010135842023,26/01/2024,16/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,151 dar
982,04/01/2023,2/25/2023,MHPU010176002023,25/03/2023,28/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
983,27/10/2023,8/3/2023,MHPU010135842023,13/05/2024,26/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,166
984,28/10/2023,10/23/2023,MHPU010043232023,27/03/2024,21/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,o21
985,11/10/2023,7/18/2023,MHPU010000532023,12/09/2023,02/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,151 dar
986,17/07/2023,9/29/2023,MHPU010060312023,26/02/2024,21/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,151 dar
987,04/10/2023,2/13/2023,MHPU010135842023,04/09/2023,15/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,166
988,14/06/2023,11/5/2023,MHPU010063022023,17/11/2023,12/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,40
989,09/03/2023,3/1/2023,MHPU010258492022,26/05/2024,15/12/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,40
990,18/03/2023,11/27/2023,MHPU010135842023,26/06/2023,13/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,o21
991,23/10/2023,12/23/2023,MHPU010043232023,14/03/2023,14/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,166
992,02/10/2023,8/4/2023,MHPU010060312023,27/06/2023,26/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,o21
993,16/09/2023,9/17/2023,MHPU010258492022,23/05/2024,16/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,140
994,31/07/2023,8/17/2023,MHPU010170062023,22/03/2023,23/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
995,27/10/2023,6/20/2023,MHPU010064392023,30/06/2024,25/09/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,166
996,06/05/2023,4/12/2023,MHPU010135842023,22/04/2024,13/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,140
997,15/09/2023,12/6/2023,MHPU010170062023,14/02/2023,20/11/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,140
998,12/09/2023,5/28/2023,MHPU010101462023,03/05/2023,25/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,40
999,29/07/2023,10/1/2023,MHPU010170062023,13/02/2023,05/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,140
1000,15/04/2023,4/11/2023,MHPU010170062023,26/03/2024,18/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,166
